id,topic,source,question,reference_answer,baseline_answer,top_source,top_score,retrieved_contexts,source_match,top3_source_match,answer_similarity
qa_047,Cardiomyopathy,Cardiomyopathy.txt,What is dilated cardiomyopathy?,"Dilated cardiomyopathy is a type of cardiomyopathy in which the heart chambers become thin, stretched, and enlarged. It usually starts in the left ventricle and makes it harder for the heart to pump blood to the body.","Dilated cardiomyopathy. In this type of cardiomyopathy, the heart's chambers thin and stretch, growing larger. The condition tends to start in the heart's main pumping chamber, called the left ventricle. As a result, the heart has trouble pumping blood to the rest of the body. There are various types of cardiomyopathy.",Cardiomyopathy.txt,0.2921921876142275,"[{'source': 'Cardiomyopathy.txt', 'text': ""Dilated cardiomyopathy. In this type of cardiomyopathy, the heart's chambers thin and stretch, growing larger. The condition tends to start in the heart's main pumping chamber, called the left ventricle. As a result, the heart has trouble pumping blood to the rest of the body."", 'score': 0.2921921876142275}, {'source': 'Cardiomyopathy.txt', 'text': 'There are various types of cardiomyopathy. The main types include dilated, hypertrophic and restrictive cardiomyopathy. Treatment includes medicines and sometimes surgically implanted devices and heart surgery. Some people with severe cardiomyopathy need a heart transplant. Treatment depends on the type of cardiomyopathy and how serious it is.', 'score': 0.24698179190654668}, {'source': 'Cardiomyopathy.txt', 'text': ""Often, the cause of the cardiomyopathy isn't known. But some people get it due to another condition. This is known as acquired cardiomyopathy. Other people are born with cardiomyopathy because of a gene passed on from a parent. This is called inherited cardiomyopathy."", 'score': 0.1991746260167786}]",True,True,0.3802148114091946
qa_057,Heart Valve Disease,Heart Valve Disease.txt,What is valve regurgitation?,Valve regurgitation happens when valve flaps do not close tightly. This allows blood to leak backward through the valve.,Heart valve disease. An echocardiogram can show how the heart valves open and close. The test is often used to check for leaky heart valves. It can help diagnose valve disease such as heart valve regurgitation and valve stenosis. There are different types of heart valve disease.,Echocardiogram.txt,0.3689804836831777,"[{'source': 'Echocardiogram.txt', 'text': 'Heart valve disease. An echocardiogram can show how the heart valves open and close. The test is often used to check for leaky heart valves. It can help diagnose valve disease such as heart valve regurgitation and valve stenosis.', 'score': 0.3689804836831777}, {'source': 'Heart Valve Disease.txt', 'text': ""There are different types of heart valve disease. Sometimes a valve isn't formed or it doesn't close all the way. Or a valve opening may get narrow. Heart valve disease can change how blood flows through the heart to the rest of the body."", 'score': 0.16220822831926418}, {'source': 'Heart Valve Disease.txt', 'text': 'Stenosis. The valve flaps become thick or stiff. Sometimes the flaps can join together. These changes can make the valve opening narrow. Less blood can flow through the narrowed valve.', 'score': 0.14433372682478154}]",False,True,0.3473006787729298
qa_099,Blood Flow,Blood_Flow.txt,What are the main functions of blood flow?,Blood flow delivers oxygen and nutrients to organs and tissues and removes carbon dioxide and metabolic waste. It also transports immune cells such as white blood cells to help protect the body from infection.,"Blood flow has two main functions, which are delivering oxygen and nutrients to organs and tissues and removing carbon dioxide and metabolic waste. In addition, blood helps transport immune cells that protect the body from infections. Mixing lesions: The body mixes systemic and pulmonary blood flow. One example is transposition of the great arteries, which means the two main arteries leaving your heart are in the wrong place. Another is truncus arteriosus, when your heart has only one main artery, instead of two, to carry blood to your body.",Blood_Flow.txt,0.30358334701826906,"[{'source': 'Blood_Flow.txt', 'text': 'Blood flow has two main functions, which are delivering oxygen and nutrients to organs and tissues and removing carbon dioxide and metabolic waste. In addition, blood helps transport immune cells that protect the body from infections.', 'score': 0.30358334701826906}, {'source': 'Congenital heart disease.txt', 'text': 'Mixing lesions: The body mixes systemic and pulmonary blood flow. One example is transposition of the great arteries, which means the two main\u202farteries leaving your heart are in the wrong place. Another is truncus arteriosus, when your heart has only one main artery, instead of two, to carry blood to your body.', 'score': 0.14091737599993956}, {'source': 'heart_anatomy_and_function.txt', 'text': 'Heart valves control blood flow between chambers and prevent backflow. The atrioventricular valves include the tricuspid valve between the right atrium and right ventricle, and the mitral valve between the left atrium and left ventricle. The semilunar valves include the pulmonary valve, which allows blood to flow from the right ventricle to the pulmonary arteries, and the aortic valve, which allows blood to flow from the left ventricle to the aorta.', 'score': 0.115406468916669}]",True,True,0.36006732298372873
qa_135,Heart Failure,heart_failure.txt,What are the ACC/AHA stages of heart failure?,"The ACC/AHA stages of heart failure are Stage A, Stage B, Stage C, and Stage D. Stage A means at risk without structural disease, Stage B means structural disease without symptoms, Stage C means structural disease with current or past symptoms, and Stage D means advanced heart failure with severe symptoms despite treatment.","Heart failure, also known as congestive heart failure (CHF), is a clinical syndrome in which the heart is unable to pump blood effectively due to structural or functional impairment. As a result, the body does not receive sufficient oxygen and nutrients. The most common cause of heart failure is ischemic heart disease, although other causes include hypertension, valvular disease, and myocarditis. Common symptoms include shortness of breath, fatigue, fluid retention, and edema. Heart failure is classified based on disease progression.",heart_failure.txt,0.3581008122311693,"[{'source': 'heart_failure.txt', 'text': 'Heart failure, also known as congestive heart failure (CHF), is a clinical syndrome in which the heart is unable to pump blood effectively due to structural or functional impairment. As a result, the body does not receive sufficient oxygen and nutrients. The most common cause of heart failure is ischemic heart disease, although other causes include hypertension, valvular disease, and myocarditis. Common symptoms include shortness of breath, fatigue, fluid retention, and edema.', 'score': 0.3581008122311693}, {'source': 'heart_failure.txt', 'text': 'Heart failure is classified based on disease progression. Stage A includes individuals at risk of heart failure without structural heart disease or symptoms, such as those with hypertension or diabetes. Stage B involves structural heart disease without symptoms. Stage C includes patients with structural heart disease and current or past symptoms. Stage D represents advanced heart failure with severe symptoms despite treatment.', 'score': 0.30807740645570414}, {'source': 'Cardiomyopathy.txt', 'text': 'Cardiomyopathy is a disease of the heart muscle. It causes the heart to have a harder time pumping blood to the rest of the body, which can lead to symptoms of heart failure. Cardiomyopathy also can lead to some other serious heart conditions.', 'score': 0.231865934754086}]",True,True,0.1304615572742938
qa_070,Stroke,Stroke.txt,How is hemorrhagic stroke treated?,"Hemorrhagic stroke treatment focuses on controlling the bleeding and reducing pressure around the brain. Treatment may include medications to stop bleeding, blood pressure management, and sometimes surgery to reduce increased intracranial pressure.","If you have a hemorrhagic stroke, your providers will control the bleeding that caused it. You’ll need medications to stop the bleeding in your brain and manage your blood pressure. You may need surgery to reduce the increased intracranial pressure around your brain. If you think you or someone you’re with is having a stroke, immediately call 911 or your local emergency services number. Strokes are life-threatening and can be fatal.",Stroke.txt,0.2270663646160849,"[{'source': 'Stroke.txt', 'text': 'If you have a hemorrhagic stroke, your providers will control the bleeding that caused it. You’ll need medications to stop the bleeding in your brain and manage your blood pressure. You may need surgery to reduce the increased intracranial pressure around your brain.', 'score': 0.2270663646160849}, {'source': 'Stroke.txt', 'text': 'If you think you or someone you’re with is having a stroke, immediately call 911 or your local emergency services number. Strokes are life-threatening and can be fatal. The sooner someone is diagnosed and treated, the more likely it is they’ll survive a stroke. Every second counts.', 'score': 0.1410361840908951}, {'source': 'Stroke.txt', 'text': 'Stroke rehab is an important part of stroke treatment. You’ll need rehab to help you adjust to changes in your brain and body after a stroke. You may need to regain abilities you had before or adjust to new or different disabilities. You might need a combination of:', 'score': 0.08832393527548478}]",True,True,0.4867345542034641
qa_114,Heart Anatomy and Function,heart_anatomy_and_function.txt,What is the heart?,The heart is a fist-sized muscular organ that pumps blood throughout the body. It is the main organ of the circulatory system and is controlled by electrical impulses.,"An electrocardiogram can help diagnose several conditions, including abnormal heart rhythms, conduction problems, reduced blood flow to the heart (ischemia), heart valve abnormalities, congenital heart disease, heart attack, enlarged heart chambers, and heart failure. Heart disease includes several different conditions. These include coronary artery disease, which involves narrowing of blood vessels due to plaque buildup; arrhythmia, which refers to abnormal heart rhythm; heart valve disease, which affects blood flow through the heart; cardiomyopathy, which involves thickening or stiffening of the heart muscle; and heart failure, where the heart cannot pump enough blood. An echocardiogram uses sound waves to create pictures of the heart. This common test can show blood flow through the heart and heart valves.",Electrocardiogram.txt,0.2886977223320557,"[{'source': 'Electrocardiogram.txt', 'text': 'An electrocardiogram can help diagnose several conditions, including abnormal heart rhythms, conduction problems, reduced blood flow to the heart (ischemia), heart valve abnormalities, congenital heart disease, heart attack, enlarged heart chambers, and heart failure.', 'score': 0.2886977223320557}, {'source': 'Heart_Disease.txt', 'text': 'Heart disease includes several different conditions. These include coronary artery disease, which involves narrowing of blood vessels due to plaque buildup; arrhythmia, which refers to abnormal heart rhythm; heart valve disease, which affects blood flow through the heart; cardiomyopathy, which involves thickening or stiffening of the heart muscle; and heart failure, where the heart cannot pump enough blood.', 'score': 0.24725981577471134}, {'source': 'Echocardiogram.txt', 'text': 'An echocardiogram uses sound waves to create pictures of the heart. This common test can show blood flow through the heart and heart valves. Your healthcare professional can use the pictures from the test to find heart disease and other heart conditions.', 'score': 0.23195492665413872}]",False,False,0.027310592358795755
qa_042,Cardiomyopathy,Cardiomyopathy.txt,What are common symptoms of cardiomyopathy?,"Symptoms of cardiomyopathy can include shortness of breath, chest pain after activity or heavy meals, rapid or fluttering heartbeats, swelling in the legs or feet, bloating from fluid buildup, cough while lying down, fatigue, dizziness, and fainting.","Common symptoms of arrhythmia include heart palpitations, dizziness or lightheadedness, fainting episodes, shortness of breath, chest discomfort, weakness, and fatigue. However, some individuals may not experience any symptoms, meaning the condition can be asymptomatic. Often, the cause of the cardiomyopathy isn't known. But some people get it due to another condition. This is known as acquired cardiomyopathy.",Arrhythmia.txt,0.21679036722185885,"[{'source': 'Arrhythmia.txt', 'text': 'Common symptoms of arrhythmia include heart palpitations, dizziness or lightheadedness, fainting episodes, shortness of breath, chest discomfort, weakness, and fatigue. However, some individuals may not experience any symptoms, meaning the condition can be asymptomatic.', 'score': 0.21679036722185885}, {'source': 'Cardiomyopathy.txt', 'text': ""Often, the cause of the cardiomyopathy isn't known. But some people get it due to another condition. This is known as acquired cardiomyopathy. Other people are born with cardiomyopathy because of a gene passed on from a parent. This is called inherited cardiomyopathy."", 'score': 0.2163010279131032}, {'source': 'Heart_Disease.txt', 'text': 'Common symptoms of heart disease include chest pain, shortness of breath, leg swelling, fatigue, and dizziness or fainting. Other symptoms may include palpitations, sweating, neck pain, heartburn or indigestion, nausea, trouble sleeping, reduced ability to exercise, and fever. Symptoms can vary depending on the specific condition.', 'score': 0.19623963532224814}]",False,True,0.23087319679422016
qa_052,Cardiomyopathy,Cardiomyopathy.txt,How can acquired cardiomyopathy risk be reduced?,"The risk of acquired cardiomyopathy can be reduced by avoiding alcohol and illegal drugs, controlling high blood pressure, high cholesterol and diabetes, eating a healthy diet, exercising regularly, getting enough sleep, and lowering stress.","Often, the cause of the cardiomyopathy isn't known. But some people get it due to another condition. This is known as acquired cardiomyopathy. Other people are born with cardiomyopathy because of a gene passed on from a parent. This is called inherited cardiomyopathy.",Cardiomyopathy.txt,0.35253754488369543,"[{'source': 'Cardiomyopathy.txt', 'text': ""Often, the cause of the cardiomyopathy isn't known. But some people get it due to another condition. This is known as acquired cardiomyopathy. Other people are born with cardiomyopathy because of a gene passed on from a parent. This is called inherited cardiomyopathy."", 'score': 0.35253754488369543}, {'source': 'Cardiomyopathy.txt', 'text': 'There are various types of cardiomyopathy. The main types include dilated, hypertrophic and restrictive cardiomyopathy. Treatment includes medicines and sometimes surgically implanted devices and heart surgery. Some people with severe cardiomyopathy need a heart transplant. Treatment depends on the type of cardiomyopathy and how serious it is.', 'score': 0.14357752422409426}, {'source': 'Cardiomyopathy.txt', 'text': ""Hypertrophic cardiomyopathy can start at any age. But it tends to be worse if it happens during childhood. Most people with this type of cardiomyopathy have a family history of the disease. Some gene changes have been linked to hypertrophic cardiomyopathy. The condition doesn't happen due to a heart problem."", 'score': 0.11410285332499448}]",True,True,0.14679836507375066
qa_155,Warning Signs of Heart Attack,warning_signs_of_heart_attack.txt,What should someone do if heart attack warning signs occur?,"If heart attack warning signs occur, immediate medical attention is critical. Early recognition and treatment can reduce serious complications, so the person should seek emergency medical help right away.","Heart attack warning signs require immediate medical attention and may appear suddenly or develop gradually. Common symptoms include chest pain or discomfort, often described as pressure, squeezing, fullness, or pain in the center of the chest that lasts for several minutes or comes and goes. Measuring your blood pressure is the only way to know whether you have high blood pressure. High blood pressure usually has no warning signs or symptoms, and many people do not know they have it. Visit a healthcare provider for a check-up every year (or as often as they suggest).",warning_signs_of_heart_attack.txt,0.28168321130201457,"[{'source': 'warning_signs_of_heart_attack.txt', 'text': 'Heart attack warning signs require immediate medical attention and may appear suddenly or develop gradually. Common symptoms include chest pain or discomfort, often described as pressure, squeezing, fullness, or pain in the center of the chest that lasts for several minutes or comes and goes.', 'score': 0.28168321130201457}, {'source': 'Blood pressure measurement.txt', 'text': 'Measuring your blood pressure is the only way to know whether you have high blood pressure. High blood pressure usually has no warning signs or symptoms, and many people do not know they have it.', 'score': 0.2219827537887844}, {'source': 'Stroke.txt', 'text': 'Visit a healthcare provider for a check-up every year (or as often as they suggest). Many of the health conditions and issues that can cause stroke develop and build up over time, and may not cause symptoms you can notice. Many people with high blood pressure never feel or sense anything wrong. Your provider will help you catch and manage any warning signs before they increase your risk of a stroke later on.', 'score': 0.15173056133778842}]",True,True,0.29124671531595586
qa_074,Cholesterol,Cholesterol.txt,Where does cholesterol come from?,"Cholesterol comes from two sources. The liver makes all the cholesterol the body needs, and the rest can come from animal-based foods such as meat, poultry, and dairy products.","When your results come in, your provider will let you know. You may also be able to access your results through your electronic medical record. The results will show your cholesterol levels as milligrams of cholesterol per deciliter of blood. This is abbreviated as mg/dL. Your cholesterol levels show how much cholesterol is circulating in your blood.",Cholesterol.txt,0.18677920284431507,"[{'source': 'Cholesterol.txt', 'text': 'When your results come in, your provider will let you know. You may also be able to access your results through your electronic medical record. The results will show your cholesterol levels as milligrams of cholesterol per deciliter of blood. This is abbreviated as mg/dL.', 'score': 0.18677920284431507}, {'source': 'Cholesterol.txt', 'text': 'Your cholesterol levels show how much cholesterol is circulating in your blood. Your HDL (“good” cholesterol) is the one number you want to be high (ideally 60 to 80). Your LDL (“bad” cholesterol) should be below 100. Your total should be below 200. Talk with your provider about what your results mean for you and how to manage your cholesterol.', 'score': 0.1392731497548683}, {'source': 'Electrocardiogram.txt', 'text': 'After the test, the electrodes are removed and the patient can return to normal activities. The electrocardiogram is a low-risk procedure, as it does not use radiation and does not deliver electricity into the body. In some cases, minor skin irritation may occur from the adhesive pads.', 'score': 0.12275190626912785}]",True,True,0.09628123033223795
